Name,Position,Rating,Year,DVOA,QBR,DVAR
B.Roethlisberger,QB,88,11,13.3%,63.6,867
M.Schaub,QB,89,11,24.4%,67.4,701
M.Vick,QB,73,11,11.6%,64.4,652
A.Smith,QB,77,11,3.1%,46.1,442
J.Flacco,QB,87,11,0.0%,59.6,409
M.Hasselbeck,QB,79,11,0.5%,62.6,390
J.Campbell,QB,83,11,19.8%,54.3,340
C.Palmer,QB,87,11,2.5%,62.6,296
T.Jackson,QB,71,11,-6.0%,37.7,161
J.Cutler,QB,83,11,-3.5%,59.7,157
M.Moore,QB,76,11,-5.7%,56.7,135
K.Orton,QB,80,11,-5.4%,49.8,97
D.McNabb,QB,89,11,-4.8%,44.3,70
C.Henne,QB,79,11,-2.7%,63.4,67
K.Clemens,QB,70,11,-12.0%,25.2,-6
K.Collins,QB,72,11,-18.9%,13.8,-50
M.Sanchez,QB,82,11,-12.5%,33.6,-53
V.Young,QB,79,11,-21.7%,38.4,-83
J.Freeman,QB,77,11,-13.7%,45.3,-96
K.Kolb,QB,75,11,-18.5%,34.4,-133
C.McCoy,QB,71,11,-15.2%,40.0,-133
T.Tebow,QB,70,11,-22.7%,29.4,-221
M.Cassel,QB,78,11,-25.9%,50.7,-277
S.Bradford,QB,80,11,-24.2%,28.6,-329
T.Brady,QB,99,12,35.1%,77.1,"2,035"
D.Brees,QB,96,12,19.8%,67.9,"1,441"
A.Rodgers,QB,98,12,23.4%,72.5,"1,395"
M.Ryan,QB,90,12,16.5%,74.5,"1,196"
M.Stafford,QB,80,12,12.2%,58.9,"1,160"
T.Romo,QB,88,12,14.8%,62.7,"1,156"
B.Roethlisberger,QB,94,12,13.2%,62.8,761
E.Manning,QB,87,12,9.0%,67.4,753
M.Schaub,QB,88,12,7.5%,62.6,697
C.Kaepernick,QB,70,12,25.8%,76.8,555
C.Newton,QB,77,12,2.0%,54.2,422
A.Smith,QB,75,12,14.8%,70.1,418
S.Bradford,QB,85,12,-0.8%,51.6,388
J.Flacco,QB,88,12,-1.3%,46.8,358
A.Dalton,QB,71,12,-5.9%,50.7,194
C.Ponder,QB,73,12,-6.1%,53.8,173
P.Rivers,QB,96,12,-7.3%,40.6,138
R.Fitzpatrick,QB,81,12,-7.6%,45.8,120
J.Freeman,QB,87,12,-8.0%,53.1,118
M.Vick,QB,93,12,-14.4%,46.0,-78
J.Cutler,QB,85,12,-13.8%,51.9,-81
J.Locker,QB,74,12,-23.6%,48.1,-265
B.Gabbert,QB,75,12,-25.3%,40.9,-268
C.Henne,QB,77,12,-24.6%,29.9,-286
M.Cassel,QB,86,12,-30.4%,36.5,-353
B.Quinn,QB,72,12,-43.8%,27.4,-440
M.Sanchez,QB,83,12,-29.4%,23.4,-593
P.Manning,QB,93,13,43.2%,679,"2,475"
P.Rivers,QB,92,13,34.8%,575,"1,799"
D.Brees,QB,98,13,26.9%,687,"1,701"
M.Ryan,QB,89,13,13.3%,695,"1,124"
N.Foles,QB,65,13,35.6%,347,"1,011"
T.Brady,QB,98,13,10.9%,665,979
T.Romo,QB,90,13,11.5%,572,839
C.Kaepernick,QB,70,13,16.6%,456,791
R.Wilson,QB,70,13,15.6%,453,770
A.Rodgers,QB,99,13,25.4%,310,740
B.Roethlisberger,QB,95,13,6.6%,621,724
M.Stafford,QB,91,13,4.9%,658,690
A.Luck,QB,84,13,4.6%,606,650
C.Palmer,QB,84,13,2.7%,614,547
A.Dalton,QB,83,13,2.3%,615,541
C.Newton,QB,89,13,1.7%,513,421
J.Cutler,QB,87,13,5.5%,371,392
S.Bradford,QB,80,13,5.2%,277,304
A.Smith,QB,83,13,-3.7%,545,262
R.Fitzpatrick,QB,82,13,-3.6%,369,179
M.Cassel,QB,80,13,-5.9%,271,92
J.Locker,QB,75,13,-5.7%,199,69
R.Tannehill,QB,74,13,-9.8%,643,54
M.Vick,QB,89,13,-6.9%,157,40
J.Campbell,QB,79,13,-12.2%,332,-24
C.Ponder,QB,75,13,-13.5%,267,-42
R.Griffin,QB,83,13,-13.1%,495,-60
M.Schaub,QB,89,13,-16.2%,380,-123
J.Freeman,QB,82,13,-29.7%,156,-176
C.Keenum,QB,64,13,-22.4%,270,-191
M.Flynn,QB,79,13,-24.5%,225,-196
J.Flacco,QB,88,13,-18.1%,661,-296
E.Manning,QB,97,13,-20.2%,590,-335
T.Pryor,QB,65,13,-31.6%,304,-388
B.Weeden,QB,74,13,-36.1%,293,-443
